id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
10967,-58.42563928,-34.63197627,BANCO DE LA NACION ARGENTINA,LINK,"Av. La Plata 1455, entre Pavon y Av Juan De Garay",CABA,1,FALSE,FALSE,Av. La Plata,1455,,Parque Chacabuco,Comuna 7,1250,C1250AAE
10966,-58.42562328,-34.63198227,BANCO DE LA NACION ARGENTINA,LINK,"Av. La Plata 1455, entre Pavon y Av. Juan De Garay",CABA,1,FALSE,FALSE,Av. La Plata,1455,,Parque Chacabuco,Comuna 7,1250,C1250AAE
10884,-58.42260623,-34.64307954,CABAL COOP. LTDA.,LINK,Av. La Plata 2428,CABA,3,FALSE,FALSE,Av. La Plata,2428,,Nueva Pompeya,Comuna 4,1437,C1437DHP
11659,-58.4274003,-34.62419409,BANCO DE LA NACION ARGENTINA,LINK,Av. La Plata 739,CABA,4,FALSE,FALSE,Av. La Plata,739,,Caballito,Comuna 6,1235,C1235ABE
11714,-58.37251678,-34.59513569,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Leandro N. Alem 1051,CABA,2,FALSE,FALSE,Av. Leandro N. Alem,1051,,Retiro,Comuna 1,1001,C1001AAF
11703,-58.37024974,-34.60296488,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Leandro N. Alem s/n esquina Av. Corrientes,CABA,1,FALSE,FALSE,,0,,,,,
10974,-58.50018665,-34.6625536,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Lisandro De La Torre 2406,CABA,1,FALSE,FALSE,Av. Lisandro De La Torre,2406,,Mataderos,Comuna 9,1440,C1440ECZ
11800,-58.43591827,-34.56999481,BANCO DE LA NACION ARGENTINA,LINK,Av. Luis M. Campos 726,CABA,1,FALSE,FALSE,Av. Luis M. Campos,726,,Palermo,Comuna 14,1426,C1426BOS
11781,-58.4366673,-34.56919479,BANCO DE LA NACION ARGENTINA,LINK,Av. Luis M. Campos 813,CABA,2,FALSE,FALSE,Av. Luis M. Campos,813,,Palermo,Comuna 14,1426,C1426BOG
11699,-58.36585857,-34.60500195,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Macacha Guemes s/n,CABA,1,FALSE,FALSE,,0,,,,,
11510,-58.37011392,-34.62888147,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Martin Garcia 350,CABA,2,FALSE,FALSE,Av. Martin Garcia,350,,Boca,Comuna 4,1165,C1165ABP
11501,-58.37244903,-34.63131652,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Martin Garcia 574,CABA,2,FALSE,FALSE,Av. Martin Garcia,574,,Barracas,Comuna 4,1268,C1268ABO
11502,-58.37516417,-34.63420757,BANCO DE LA NACION ARGENTINA,LINK,Av. Martin Garcia 878,CABA,2,FALSE,FALSE,Av. Martin Garcia,878,,Barracas,Comuna 4,1268,C1268ABR
10961,-58.47095771,-34.56518653,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Monroe 3555,CABA,1,FALSE,FALSE,Av. Monroe,3555,,Coghlan,Comuna 12,1430,C1430BKC
10957,-58.47178275,-34.56569353,BANCO DE LA NACION ARGENTINA,LINK,Av. Monroe 3640,CABA,2,FALSE,FALSE,Av. Monroe,3640,,Belgrano,Comuna 13,1430,C1430BLN
11498,-58.37310617,-34.64663386,BANCO DE LA NACION ARGENTINA,LINK,Av. Montes De Oca 1699,CABA,4,FALSE,FALSE,Av. Montes De Oca,1699,,Barracas,Comuna 4,1270,C1270ABD
11503,-58.37768024,-34.62899244,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Montes De Oca 40,CABA,1,FALSE,FALSE,Av. Montes De Oca,40,,Barracas,Comuna 4,1270,C1270AAN
11500,-58.37463117,-34.63820066,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Montes De Oca 873,CABA,3,FALSE,FALSE,Av. Montes De Oca,873,,Barracas,Comuna 4,1270,C1270AAI
